-1.473426, -48.458643
-1.47351521, -48.45863182
-1.47360442, -48.45862063
-1.47369363, -48.45860945
-1.47378283, -48.45859820
-1.47387198, -48.45858659
-1.47396114, -48.45857498
-1.47405029, -48.45856338
-1.47413945, -48.45855177
-1.47422860, -48.45854016
-1.47431776, -48.45852855
-1.47440691, -48.45851694
-1.47449607, -48.45850534
-1.47458508, -48.45849269
-1.47467406, -48.45847979
-1.47476303, -48.45846689
-1.47485201, -48.45845399
-1.47494099, -48.45844108
-1.47502996, -48.45842818
-1.47511889, -48.45841496
-1.47520781, -48.45840168
-1.47529673, -48.45838839
-1.47538566, -48.45837511
-1.47547458, -48.45836183
-1.47556350, -48.45834854
-1.47565282, -48.45833955
-1.47574266, -48.45833621
-1.47583226, -48.45834073
-1.47592172, -48.45834967
-1.47600915, -48.45837007
-1.47609623, -48.45839246
-1.47617477, -48.45843105
-1.47624816, -48.45847433
